club_name,club_city,club_region,club_country,club_postcode,course_name,course_holes,course_par_total,tee_name,tee_colour,gender_category,tee_par_total,course_rating,slope_rating,sss_value,hole_number,hole_default_par,hole_default_stroke_index,tee_yardage,tee_par,tee_stroke_index
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,White,white,Men,71,70.6,134,,1,5,4,516,5,4
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Yellow,yellow,Men,71,70.2,134,,1,5,4,505,5,4
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Red,red,Women,71,72.9,130,,1,5,4,529,5,5
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Blue,blue,Men,71,69.2,130,,1,5,4,522,5,4
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,White,white,Men,71,70.6,134,,2,4,12,326,4,12
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Yellow,yellow,Men,71,70.2,134,,2,4,12,316,4,12
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Red,red,Women,71,72.9,130,,2,4,12,306,4,7
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Blue,blue,Men,71,69.2,130,,2,4,12,296,4,12
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,White,white,Men,71,70.6,134,,3,3,9,197,3,9
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Yellow,yellow,Men,71,70.2,134,,3,3,9,178,3,9
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Red,red,Women,71,72.9,130,,3,3,9,162,3,13
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Blue,blue,Men,71,69.2,130,,3,3,9,197,3,9
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,White,white,Men,71,70.6,134,,4,4,1,447,4,1
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Yellow,yellow,Men,71,70.2,134,,4,4,1,442,4,1
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Red,red,Women,71,72.9,130,,4,4,1,439,4,1
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Blue,blue,Men,71,69.2,130,,4,4,1,396,4,1
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,White,white,Men,71,70.6,134,,5,5,17,511,5,17
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Yellow,yellow,Men,71,70.2,134,,5,5,17,495,5,17
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Red,red,Women,71,72.9,130,,5,5,17,432,5,11
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Blue,blue,Men,71,69.2,130,,5,5,17,480,5,17
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,White,white,Men,71,70.6,134,,6,4,15,325,4,15
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Yellow,yellow,Men,71,70.2,134,,6,4,15,315,4,15
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Red,red,Women,71,72.9,130,,6,4,15,255,4,14
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Blue,blue,Men,71,69.2,130,,6,4,15,299,4,15
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,White,white,Men,71,70.6,134,,7,4,5,349,4,5
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Yellow,yellow,Men,71,70.2,134,,7,4,5,339,4,5
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Red,red,Women,71,72.9,130,,7,4,5,246,4,18
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Blue,blue,Men,71,69.2,130,,7,4,5,333,4,5
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,White,white,Men,71,70.6,134,,8,4,18,316,4,18
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Yellow,yellow,Men,71,70.2,134,,8,4,18,299,4,18
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Red,red,Women,71,72.9,130,,8,4,18,293,4,15
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Blue,blue,Men,71,69.2,130,,8,4,18,316,4,18
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,White,white,Men,71,70.6,134,,9,4,11,378,4,11
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Yellow,yellow,Men,71,70.2,134,,9,4,11,372,4,11
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Red,red,Women,71,72.9,130,,9,4,11,364,4,3
